type,slug,title,meta_description
blog,grieving-injustice,Grieving Injustice,A raw reflection on grief after a friend loses someone to violence — and the deeper question of where justice goes when the world keeps moving on.
blog,looking-forward-to-2018-19,Looking Forward to 2018-19,"The strategic plan for Stanford's final year, organised around four pillars: personal development, academic excellence, financial sustainability, and meaningful communities."
blog,love-and-i,Love and I,"Prompted by a threatening letter and two books on love gifted by friends, Tumisang explores what love truly is — a force that gives life, takes it, and demands everything."
blog,love-and-resistance,Love and Resistance,"A 2014 photograph becomes a mirror — looking back at sunglasses worn indoors, hand-me-down jackets, and the quiet ways circumstance shapes who we are."
blog,modified-coles-law,Modified Cole's Law,"A data science study break turns into a kitchen meditation on coleslaw, optimal inventory management, and the art of using up ageing produce before it goes to waste."
blog,montsamaisa-bosigo-friends-appreciation,Montsamaisa Bosigo: Friends Appreciation,A tribute to the friends who carry Tumisang through the night — from a London phone call to a handwritten letter from DC — and what it means to be genuinely known by others.
blog,musings-on-redemption,Musings On Redemption,Reflecting on accountability and redemption after witnessing two very different community responses to boundary violations — and what it means to truly make amends.
blog,my-cup-runneth-over,My Cup Runneth Over,"A public testimony of gratitude: for health, friendship, growth, and the simple magic of good hydration and an unbothered spirit."
blog,my-friendship-philosophy,My Friendship Philosophy,"An inside look at Tumisang's tiered friendship system — what separates a best friend from a close friend, and what reciprocity, security, and love look like in practice."
blog,my-many-girlfriends-a-gratitude-post,My Many Girlfriends - A Gratitude Post,"Inspired by Michelle Obama's words in Becoming, a gratitude post for the close female friendships that have been Tumisang's safest harbor since childhood."
blog,my-mother-my-angel,"My Mother, My Angel","A tribute to his mother, now living with dementia — the poem he never gave her, the words that still need saying, and the love that outlasts the ability to reach her."
blog,my-vision-for-catalyzing-impact,My Vision for Catalyzing Impact,From enabling African storytelling to supporting rational decision-making to 'catalyzing impact' — tracing the evolution of a life's purpose and what it means to do meaningful work.
blog,new-place-impressions-mountain-view,Initial Impressions of the New Place 2.0,Moving to Mountain View and reflecting on home as sanctuary — what four apartments have taught him about the non-negotiables of feeling safe and at ease.
blog,new-place-impressions-palo-alto,Initial Impressions of the New Place,"A new Palo Alto apartment, a triple Taurus astrology chart, and a confession: home is something Tumisang has always been chasing, even as he keeps moving toward it."
blog,on-building-borderless-nations,On Building Borderless Nations,"The origin story of Continental Dinner — a beloved gathering of Afro diasporic community in the Bay Area that grew from shared plates into a small, rooted institution."
blog,on-impermanence,On Impermanence,Senior Spring at Stanford triggers a meditation on how fast time moves and how making peace with impermanence — rather than fighting it — might be the whole point.
blog,on-storytelling-and-how-we-live-our-lives,Random Musings: On Storytelling and How We Live Our Lives,"The three questions Tumisang asks every birthday — who am I, who do I pretend to be, who do I want to be — and what honest storytelling demands of us."
blog,on-the-public-vs-the-private-in-sharing,On the Public vs. the Private in Sharing,"A lifelong ""Radio Botswana"" who learned early that not every story is his to tell — a reflection on the tension between openness and privacy that has run through his whole life."
blog,on-unlearning-toxic-masculinity-gaining-awareness,On Unlearning Toxic Masculinity: Gaining Awareness,Part one of a series: the 2018 moment Tumisang realised his male privilege had been causing harm without his awareness — and the long road from obliviousness to accountability.
blog,on-unlearning-toxic-masculinity-living-truthfully,On Unlearning Toxic Masculinity: Living Truthfully,Part two: the unsettling discovery that his toxic masculinity grew directly from trying not to be like the toxic men he grew up around — and what truthful living demands instead.
blog,on-wanting-to-change-the-world,On Wanting To Change The World,Framing the journey from ambition to wisdom with a 900-year-old monk and Rumi — changing the world begins with changing oneself.
blog,oppression-through-erasure-of-identity,Oppression Through Erasure of Identity,On the violence of a name mispronounced or abandoned — and why the erasure of African names by dominant cultures is not a small thing but an act of identity theft.
blog,personal-key-takeaways-from-my-covid-19-project,Personal Key Takeaways From My Covid-19 Project,"Joining a Stanford class to model COVID-19 impacts in Botswana brought unexpected personal lessons about curiosity, insecurity, and the meaning of applied scholarship."
blog,phane-pricing-problem,Phane Pricing Problem,A look at the economics of phane (mopane worm) pricing in Botswana — a beloved delicacy whose market dynamics raise bigger questions about food and value.
blog,quarantine-reflections,Quarantine Reflections,COVID-19 forces a confrontation with mortality — but Tumisang finds he does not fear his own death so much as its impact on the people he loves.
blog,reflections-from-august-2020,Reflections From August 2020,"One-on-one picnics with beloved friends, the loss of Bambi, and wrapping up a COVID-19 research project — August 2020 held both grief and quiet joy."
blog,reflections-from-july-2020,Reflections From July 2020,"Learning to swim, summer picnics during the pandemic, and missing the travels that COVID-19 cancelled — a month of making the best of it."
blog,reflections-from-june-2020,Reflections From June 2020,"Protests for racial justice, the end of Stanford Spring Quarter, and modelling COVID-19 in Botswana — a month of upheaval held with clear eyes."
blog,reflections-from-october-2020,Reflections From October 2020,"Job rejections and unexpected wins, holding joy and sorrow simultaneously — October 2020 as a crash course in living fully inside contradiction."
blog,reflections-from-september-2020,Reflections From September 2020,"Wildfires turned the sky orange, the pandemic surged, and Tumisang made the decision to leave academia for industry — September 2020 was apocalyptic and clarifying."
blog,reflections-on-autumn-2021,Reflections on Autumn 2021,"A surprise trip to Botswana for a community graduation celebration, a Canadian getaway, and abundant dinner parties — autumn 2021 as a season of harvest and homecoming."
blog,reflections-on-q1-of-2021,Reflections on Q1 of 2021,"A quarterly check-in across the four pillars of a well-lived life: health, relationships, professional growth, and financial sustainability."
blog,reflections-on-q2-of-2021,Reflections on Q2 of 2021,"Driving license secured, dream job landed, second Stanford engineering degree earned — Q2 2021 was the quarter everything came together."
blog,reflections-on-summer-2021,Reflections on Summer 2021,The first summer without school structure felt like the true beginning of adult life — spent working on a long-deferred personal writing project and learning to put himself first.
blog,retiring-the-persona-of-tumisang-ramarea,Retiring the Persona of Tumisang Ramarea,"A farewell to public writing life — reflecting on the shame of humble origins that drove the need to over-explain, and the healing that finally made it possible to stop."
blog,single-and-not-available-what-i-seek-in-romantic-interactions,Single And Not Available: What I Seek in Romantic Interactions,"Combing through 18 years of crushes and relationships to understand a recurring pattern: the battle between ego and joy, and what a partner who wins that battle actually looks like."
blog,some-highlights-from-a-stressful-time,Some Highlights From a Stressful Time,Senior year at Stanford is stressful — but collaborative problem-solving in tough classes and the camaraderie it creates are among its unexpected gifts.
blog,some-reviews-from-some-friends,Some Reviews From Some Friends,"A gratitude exercise during a stopover in Iowa yields candid, loving reviews from close friends — a window into what Tumisang means to those who know him best."
blog,some-thoughts-on-pricing,Some Thoughts on Pricing,"A practical note to young Botswana entrepreneurs: pricing should always incentivise the customer to buy more, not less — with egg math to prove it."
blog,spoilt-milk-nerdy-housekeeping,Spoilt Milk: Nerdy Housekeeping,Milk going bad becomes a case study in household inventory optimisation — a househusband-in-training applies his Management Science degree to the very unglamorous problem of groceries.
blog,summer-living-the-path-to-independence,Summer Living - The Path to Independence,"The last undergraduate summer: living off campus in East Palo Alto for the first time, rediscovering the pleasure of commuting with a book, and beginning the path toward a home that is truly his own."
blog,thankful,Thankful!,A Thanksgiving dinner where the host did not cook a single thing — and why providing a platform for others to feed each other is its own kind of hospitality.
blog,the-dawn-of-a-new-day,The Dawn Of A New Day,"After years on autopilot, Botswana's elections and a departing illness feel like two omens of the same renewal — a sense that a new day is genuinely beginning."
blog,the-evolution-of-my-ambition,The Evolution of My Ambition,"A Facebook post from a former schoolmate prompts a trace of ambition's arc — from escaping poverty in Kanye to Stanford and beyond, and what drives a person to keep reaching."
blog,the-great-meal,The Great Meal,A memorable meal and everything it meant.
blog,the-inspiration,The Inspiration,"A summer in a shared East Palo Alto house turns cooking into a daily spiritual practice — a meditation on presence, nourishment, and finding meaning in the simple act of preparing food."
blog,the-last-flight-to-washington-dc-a-brief-reflection-on-luck,The Last Flight to Washington DC: A Brief Reflection on Luck!,"Catching the very last flight into the US before a travel ban, after driving 1,600km across Botswana and narrowly missing a cow at 140km/h — a meditation on how thin the line between luck and catastrophe really is."
blog,the-man-and-his-dreams,The Man and His Dreams,A Vision Board made in 2014 listed Stanford as a dream — and became a prophecy. The story of how visualising a future can quietly make it real.
blog,the-tragedy-of-botho-in-botswana,The Tragedy of Botho in Botswana,"Botho — the Tswana concept of shared humanity — is invoked by those in power to demand compliance, not justice. An essay on what Botho truly demands of us as a people."
blog,the-zebra-has-earned-its-stripes,The Zebra Has Earned Its Stripes,"Walking across Stanford's commencement stage as a poor widow's son from Kanye, Botswana — a celebration of the country's investment in education and a personal accounting of what it cost to get here."
blog,two-worlds-uninhabited-water-and-fire,"""Two Worlds Uninhabited, Water and Fire""","A birthday reflection on straddling Sengwaketse spirituality and Christianity, Botswana and California — and the poem that has always described his in-between life."
blog,when-masisi-came-to-visit,When Masisi Came To Visit,Meeting President Masisi of Botswana in the Bay Area felt like a parent returning from the farm with sweet things from the harvest — and gave Tumisang renewed hope for home.
blog,where-to-from-here,Where To From Here?,Getting into the Stanford coterm program means one more year and a Master's degree — time to update the Vision Board and extend the strategic plan.
blog,who-said-i-cannot-dance,Who Said I Cannot Dance?,Dressing for sunshine when the sky is overcast is an act of faith — and so is dancing at the Stanford SASA Fountain Party as if the whole universe rearranged itself just for you.
blog,who-was-i-who-am-i-who-will-i-be,Who Was I? Who Am I? Who Will I Be?,"A childhood family photo and years of therapy raise the same stubborn question: how much do we really change, and is the smile we carried at five still the one we wear today?"
write,a-thousand-lifetimes,A Thousand Lifetimes,"Inspired by Andrew Marvell, a short story of a chance encounter at a five-day conference that turns into something quietly magical — told from the Gaborone bus rank, still giggling."
write,and-finally-it-rained-in-california,…and Finally it Rained in California!,"A speculative fiction piece imagining Motlalepula, the greatest rainmaker in Botswana, descended from the first African missionaries who benevolently colonised the West."
write,collection-of-old-stories,Collection of Old Stories,"A set of short stories written between 2011 and 2013, using fiction to make sense of the world — the lived experiences of a young writer finding his voice."
write,fa-le-phirima,Fa Le Phirima,"A Setswana short story of two people by the ocean at sunset — Kabo confessing to Merapelo that his heart is all he has to give, and finding that it is enough."
write,homeless,Homeless,"Standing at a street corner while a man waves flyers of a white Jesus, a narrator wrestles with mortality, organised religion, and the question of where any of us truly belong."
write,just-talking,Just Talking,"The shortest of short stories: a DM, a friendship, a spark, a flame that burns itself out. No big deal. The birds chirp on."
write,lehuma-leswe,Lehuma Leswe,"A Setswana story following Mothusi, a diligent student from Diphiring who quietly builds a small lending business to help classmates in need — proving the story's title: poverty is not a disgrace."
write,mma-pelo,Mma Pelo,"A Setswana story of an elderly woman, Mma Pelo, left alone in a quiet homestead — a portrait of loneliness, the absence of family, and the small dignities of old age."
write,se-ileng-se-a-bo-se-ile,Se Ileng Se a bo Se Ile,"A Setswana story about Mompoloki, who studied abroad to lift his mother out of poverty, and returns home too late — she has already passed. What is gone is gone."
write,take-off,Take Off,"At OR Tambo Airport, Katlegо watches an Emirates plane and remembers a life of first-class travel with her now ex-boyfriend Troy — a short story about what we lose when love ends."
write,tragic-endings,Tragic Endings,"Inspired by a true story and Eminem's song — a woman endures a charming but controlling partner's quiet cruelties, until the night she burns his gifts and reclaims herself entirely."
